,Tourist_spot,Area,City,Rating,Categories,Address,coordinates,latitude,longitude
52,Plaza Premium Lounge,Open now,Delhi,4.0,Airport Lounges,"Plaza Premium Lounge,Delhi",Plaza Premium Lounge-Igi Terminal 1d,28.562780000000032,77.12076000000008
53,Discover India by Car,,Delhi,5.0,Taxis & Shuttles,"Discover India by Car,Delhi",Discover India,28.62996000000004,77.22021000000007
54,Nehru Park,Chanakyapuri/Lutyens' Delhi,Delhi,4.0,Parks,"Nehru Park,Delhi",Nehru Park,28.59039000000007,77.19312000000008
55,Guruji Travels Pvt Ltd,Open now,Delhi,5.0,Taxis & Shuttles,"Guruji Travels Pvt Ltd,Delhi",Guruji Travels,28.739100000000064,77.19770000000005
56,Isa Khan's Tomb,Nizamuddin,Delhi,4.0,Architectural Buildings,"Isa Khan's Tomb,Delhi",Isa Khan's Tomb,28.592300000000023,77.24538000000007
57,Saffron Palate,,Delhi,5.0,Cooking Classes,"Saffron Palate,Delhi",Saffron,28.83370000000008,77.09864000000005
58,Tastesutra,Open now,Delhi,5.0,Cooking Classes,"Tastesutra,Delhi",Tastesutra,28.57042000000007,77.23748000000006
59,Awaken Inner Buddha Yoga &amp; Meditation,,Delhi,5.0,"['Health Clubs', 'Yoga & Pilates']","Awaken Inner Buddha Yoga &amp; Meditation,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
60,Car with Driver North India,,Delhi,5.0,Taxis & Shuttles,"Car with Driver North India,Delhi","North Drive Road, Patel Nagar, New Delhi, West, Delhi, 110008",28.65662479725067,77.16305651809371
61,Incredible India by Car,,Delhi,5.0,Taxis & Shuttles,"Incredible India by Car,Delhi",Incredible India,28.633390000000077,77.20691000000005
62,Sawadhee Traditional Thai Spa,,Delhi,4.5,Spas,"Sawadhee Traditional Thai Spa,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
63,"Chi, The Spa",Connaught Place/Janpath,Delhi,5.0,Spas,"Chi, The Spa,Delhi",The Spa,28.659700000000043,77.09161000000006
64,Mystery Rooms,Open now,Delhi,4.5,Escape Games,"Mystery Rooms,Delhi",Mystery Rooms,28.647100000000023,77.12666000000007
65,Indian Food Cooking Classes,Open now,Delhi,5.0,Cooking Classes,"Indian Food Cooking Classes,Delhi",Cooking Classes,28.63680000000005,77.09559000000007
66,Taj Way Cabs,Open now,Delhi,5.0,Taxis & Shuttles,"Taj Way Cabs,Delhi","Delhi, Connaught Place, New Delhi, Delhi",28.63409000000007,77.21693000000005
67,The Hidden Hour,Hauz Khas Village,Delhi,4.5,Escape Games,"The Hidden Hour,Delhi",The Hidden Eye,28.539690000000064,77.11719000000005
68,Kumar Tourist Taxi Service new Delhi India,Connaught Place/Janpath,Delhi,5.0,Taxis & Shuttles,"Kumar Tourist Taxi Service new Delhi India,Delhi",Kumar Tourist Taxi Service,28.635430000000042,77.22086000000007
69,Delhi Dance Academy,,Delhi,5.0,"['Lessons & Workshops', 'Game & Entertainment Centres']","Delhi Dance Academy,Delhi",Delhi Dance Academy,28.561090000000036,77.24074000000007
70,Gozo cabs,Open now,Delhi,4.0,Taxis & Shuttles,"Gozo cabs,Delhi","Delhi, Connaught Place, New Delhi, Delhi",28.63409000000007,77.21693000000005
71,The Carpet Cellar,,Delhi,5.0,Speciality & Gift Shops,"The Carpet Cellar,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
72,IndeChauffeur Satbir Singh,,Delhi,5.0,Taxis & Shuttles,"IndeChauffeur Satbir Singh,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
73,Kita Private Taxi,Open now,Delhi,5.0,Taxis & Shuttles,"Kita Private Taxi,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
74,Amin Tours,Open now,Delhi,5.0,"['Cultural Tours', 'Historical & Heritage Tours']","Amin Tours,Delhi",Delhi Tours,28.63567000000006,77.22021000000007
75,"Indriya Wellness, Spa &amp; Salon",,Delhi,5.0,Spas,"Indriya Wellness, Spa &amp; Salon,Delhi",Wellness,28.523280000000057,77.23861000000005
76,Keeper Landwey,Open now,Delhi,5.0,"['Multi-day Tours', 'Cultural Tours']","Keeper Landwey,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
77,Buzzaria Dukaan,Mehrauli/Qutub Minar,Delhi,5.0,Speciality & Gift Shops,"Buzzaria Dukaan,Delhi",Buzzaria,28.523660000000064,77.19081000000006
78,Pioneer Holidays,Open now,Delhi,5.0,"['City Tours', 'Cultural Tours']","Pioneer Holidays,Delhi",De Pioneer Holidays India,28.56836000000004,77.21735000000007
